ref_idx,hyp_idx,ref_pitch,hyp_pitch,ref_start_s,hyp_start_s,onset_err_ms,ref_end_s,hyp_end_s,offset_err_ms,pitch_equal
427,256,50,50,127.833333,127.879167,45.8,128.052500,128.129167,76.7,1
428,255,57,57,127.833333,127.848958,15.6,128.023333,128.036458,13.1,1
429,259,49,49,128.000000,128.108333,108.3,131.060000,129.545833,1514.2,1
430,257,56,56,128.000000,128.058854,58.9,131.044167,129.308854,1735.3,1
435,260,77,77,128.833333,129.415625,582.3,131.166667,131.228125,61.5,1
436,262,50,50,131.333333,131.391146,57.8,131.552500,131.578646,26.1,1
437,261,57,57,131.333333,131.341146,7.8,131.528333,131.591146,62.8,1
438,265,51,51,131.500000,131.590625,90.6,131.700833,131.778125,77.3,1
439,264,58,58,131.500000,131.580729,80.7,131.677500,131.830729,153.2,1
440,267,52,52,131.833333,131.859896,26.6,132.020833,132.109896,89.1,1
441,266,59,59,131.833333,131.840104,6.8,132.044167,132.027604,16.6,1
442,269,53,53,132.000000,132.079688,79.7,134.169167,134.204688,35.5,1
443,268,60,60,132.000000,132.049479,49.5,134.166667,133.611979,554.7,1
444,270,80,80,132.000000,132.079688,79.7,132.166667,132.267188,100.5,1
446,271,75,75,132.333333,132.408854,75.5,132.497500,132.533854,36.4,1
449,272,64,64,135.500000,135.531771,31.8,139.497500,136.281771,3215.7,1
450,273,79,79,135.500000,135.551562,51.6,139.560000,139.614062,54.1,1
